username,date,score,version,text
"DANI ywss","2023-04-26T13:32:04.694Z",1,"6.56.0","Konsultan cenderung lebih aktif bila kita blm melakukan langganan, sedangkan setelah melakukan langganan konsultan tersebut cenderung lama banget jawabnya, padahal sebelum langganan cepet banget kayaknya ini pengen dapet bonusnya aja. Langganan pertama tapi sudah kecewa banget🙂"
"Deni Prasetyo","2023-04-26T12:00:33.473Z",1,null,"Sales tidak ramah"
"Raja Salman19","2023-04-26T10:05:49.377Z",5,"6.57.0","Bagus... ngebantu banget buat belajar"
"Kadek Anggreni","2023-04-26T05:04:20.943Z",5,null,"benar benar bagus banget aplikasinya seruuu jugaa videonya ga membosankan,wajib download sii ini 🥳🥳🥳"
"Yeheskiel Kendek","2023-04-26T01:45:47.569Z",5,"6.55.0","Apk belajar terbaik yg sya temukan, sya sudah berlangganan selama 3 tahun (ruang belajar) dan pernah lnggan BAO jga hingga berlangganan UTBK center jga. Saran kalau membuat video belajarnya lgi, perlu diperhatikan soal durasinya, jangan smpai terlalu panjang yang bisa membuat kita jdi gak mood bljar karna kelamaan dlam satu video belajr. Smoga Ruangguru selalu memberikan service yg terbaik dan berkualitas kedepannya untuk membantu anak bangsa Indonesia dalam dunia pendidikan. Amin"
"ZG ALL EDIT","2023-04-25T16:11:54.430Z",2,"6.55.0","Kereb"
"Khalfi arthur Rahman","2023-04-25T13:21:01.228Z",5,"6.57.0","Wah aplikasinya sangat bagus saya suka belajar di sini"
"Secret Creator","2023-04-25T08:37:15.367Z",1,"6.56.0","VIDEO PEMBELAJARAN NYA TIDAK BISA DIAKSES PADAHAL UDAH LANGGANAN, yang mau langganan lebih baik jangan langganan dulu, akhir ini RG ngk profesional."
"Askaas Rdf","2023-04-25T08:28:44.247Z",1,null,"wkwkkw ga pernah bimbel ya kamu ? Pantesan ga lolos SNBP . . . . Chuaksszz😜"
"Munawaroh Klaten","2023-04-25T04:06:26.525Z",5,null,"Gut gem"
"andita sari","2023-04-25T02:24:34.495Z",5,null,"Ini. Bagus untuk anak anak"
"Aysa Talita Zulaykha","2023-04-25T01:43:03.355Z",5,"6.54.0","Berguna buat belajaar"
"asyifa pratiwi","2023-04-24T23:35:33.523Z",1,"6.56.0","Ini gabisa masuk....... Ruang guru nya"
"anjarS TKJ07","2023-04-24T15:32:52.565Z",1,null,"Adminnya tidak ramah,tidak suka!"
"Thandri Mc","2023-04-24T12:34:30.152Z",5,"6.56.0","Mantaps"
