username,date,score,version,text
"MFA_05","2023-03-23T05:30:33.504Z",1,"6.8.1","Pas putar videonya lag dan buffering mulu, padahal jaringan wifi bagus pas buka video di yt sama aplikasi belajar sebelah lancar2 ajaa😭"
"Anca Anca","2023-03-21T03:52:03.715Z",5,null,"bgus pko nha#"
"Angga Gaming","2023-03-20T13:46:32.100Z",1,"6.0.36","Apk ini selalu nge bug Terlalu banyak update,dan makan banyak penyimpanan"
"Olivia Lumbantoruan","2023-03-19T13:39:23.604Z",4,"6.7.1","Update mulu gmn sih"
"Imelda Dwi Tama","2023-03-19T11:56:22.214Z",3,null,"Kenapa ya quiper saya harus di perbarui terus, tapi setelah diperbarui juga tetap g bisa dibuka aplikasinya"
"Thalita Hanum","2023-03-16T15:20:05.561Z",1,"6.8.1","Tes bakat minat tersesat antero dunia😭😭😭😭 kalo kata gue mah diem ae lah kalo gak tau🙄"
"salma chairunnisa","2023-03-15T01:36:33.320Z",2,"6.8.1","di hp ku kok materinya premium semua ya, tp di hp temenku engga, ini maksudnya gimana"
"HIDASU","2023-03-10T15:43:52.204Z",1,null,"Lagi ngerjain tugas malah muncul iklan..."
"Dwi Lestari","2023-03-10T10:50:22.577Z",5,"6.8.1","Aplikasi quipper ini bagus. Materinya lengkap dan videonya dibuat agar mudah dipahami pelajar. Tapi untuk pengalaman pribadi, saya sedikit bingung dengan tampilan menu atau berandanya. Saya lebih suka tampilan yang sebelumnya yang mulai dari tugas, materi, dan video unduhan itu navigasinya dibawah. Versi sekarang, kenapa tugas aktif nya jadi pindah di beranda dan itu kurang tersorot. Selain itu, saran saja agar quipper ditambahkan widget untuk reminder siswa🙏. Sekian, Terima kasih."
"Eka oktavia arianti","2023-03-09T00:30:00.779Z",4,"6.7.1","Cara mengajarnya bagus tapi sering banget update apknya"
"Irfan Yusuf","2023-03-08T02:30:41.883Z",1,"6.7.0","Jngn mau berlangganan isinya copy paste semua mending makek brainly Yamateh"
"Orix Ardhana","2023-03-06T03:01:22.638Z",5,"6.7.1","Aplikasinya bermanfaat banget"
"Ani Dini","2023-03-04T01:31:46.479Z",5,"6.7.1","Sangat bagus, materi yang di jelaskan mudah di pahami"
"Jonatan","2023-03-03T03:45:18.904Z",1,"6.8.0","Pas datang kesekolah kata nya ada meeting, di pantau di ajarin.pas udah bayar malah di asingkan .saya disni merasa rugi mohon untuk pihak admin mohon balas keluhan saya.saya minta uang saya balikin 450k sama pajak 5k"
